,userId,movieId,rating,rating_pred_round,rating_pred
0,1,1,,3.0,3.1843678434282934
1,2,1,,3.5,3.3856806303424287
2,3,1,,3.0,3.089380327056018
3,4,1,,4.5,4.485555623069913
4,5,1,,4.0,3.9100279661599933
5,6,1,,3.0,2.850960728583699
6,7,1,3.0,3.0,3.2179702638558476
7,8,1,,3.5,3.4734569275174194
8,9,1,4.0,4.0,3.8392412666257796
9,10,1,,4.0,3.795861814088094
10,11,1,,5.0,4.887701622757385
11,12,1,,3.5,3.720036089815386
12,13,1,5.0,4.0,4.221274110538955
13,14,1,,3.5,3.3158678537166075
14,15,1,2.0,2.5,2.540833787028284
15,16,1,,3.5,3.7217868114503254
16,17,1,,3.5,3.6071001162433247
17,18,1,,4.0,3.8413457254095023
18,19,1,3.0,4.0,3.932470827251141
19,20,1,3.5,3.0,2.984507208280852
20,21,1,,4.0,3.9433409937768547
21,22,1,,3.5,3.683518330949686
22,23,1,3.0,4.0,3.9016554443907574
23,24,1,,3.0,2.9453598865041237
24,25,1,,3.0,3.2148133158157726
25,26,1,5.0,5.0,4.799621622417986
26,27,1,,4.5,4.406086815930782
27,28,1,,4.5,4.465659874658755
28,29,1,,3.5,3.2903546714655136
29,30,1,4.0,4.5,4.53827400603229
30,31,1,,4.5,4.5681732523819205
31,32,1,,3.0,3.1301240528962992
32,33,1,,5.0,4.842205459615888
33,34,1,,3.5,3.719477217724014
34,35,1,,3.5,3.5971419939431604
35,36,1,,3.5,3.511592636924321
36,37,1,4.0,4.0,4.1280976650354715
37,38,1,,4.0,4.018566170550339
38,39,1,,3.5,3.382706634832721
39,40,1,,4.5,4.470321371009068
40,41,1,,4.0,4.232929376917421
41,42,1,,4.5,4.585897969372262
42,43,1,4.0,3.5,3.7241970919243768
43,44,1,4.0,4.0,4.016402215494341
44,45,1,,3.5,3.5784673938154214
45,46,1,,5.0,5.044038575769791
46,47,1,5.0,4.0,4.133919855458532
47,48,1,4.0,4.0,3.776997927752332
48,49,1,,3.0,2.9377644908556224
49,50,1,,3.5,3.7052824131420232
50,51,1,,3.5,3.318340360250102
51,52,1,,4.0,3.950481593835403
52,53,1,,3.5,3.400055017373782
53,54,1,,3.0,3.0912853470447055
54,55,1,3.0,3.5,3.6992786625040566
55,56,1,4.0,5.0,4.806980486460601
56,57,1,,4.0,4.218412286383444
57,58,1,,2.0,2.0999406131932608
58,59,1,,4.0,3.9595863804226723
59,60,1,,4.0,3.877608410901197
60,61,1,,2.5,2.656288114249736
61,62,1,,4.0,3.7967421418939074
62,63,1,5.0,4.5,4.442563771529526
63,64,1,,3.0,3.2214365788625647
64,65,1,,3.0,2.9744424133197986
65,66,1,,4.5,4.633763656262526
66,67,1,3.0,4.0,4.0327829990231585
67,68,1,4.0,4.0,3.8601947156125567
68,69,1,5.0,4.0,4.086864689432437
69,70,1,5.0,5.0,5.409111814208758
70,71,1,,5.0,5.045840173445077
71,72,1,3.5,3.0,3.2248629398152913
72,73,1,5.0,4.0,3.812500668421675
73,74,1,,3.5,3.3237153515574045
74,75,1,3.0,3.0,2.7813796645486075
75,76,1,,3.0,3.0076311024666094
76,77,1,4.0,4.0,4.070562417851437
77,78,1,,4.0,4.193096765714859
78,79,1,2.0,2.5,2.261668377031131
79,80,1,,4.0,3.922517433023734
80,81,1,,4.0,4.202047745869287
81,82,1,,4.0,4.185139347809517
82,83,1,,2.5,2.513493080147641
83,84,1,3.5,3.5,3.454393215329227
84,85,1,,3.5,3.328125008206251
85,86,1,3.0,4.0,3.785471131805095
86,87,1,3.0,3.0,2.9708047444132615
87,88,1,,3.5,3.451298242719255
88,89,1,5.0,5.0,4.81330318571353
89,90,1,4.0,4.0,3.9072569607786205
90,91,1,5.0,4.5,4.61255086569476
91,92,1,5.0,4.0,4.128457944034443
92,93,1,4.0,4.0,3.781612760982184
93,94,1,4.0,4.0,3.8463622389393577
94,95,1,,4.5,4.362591489364349
95,96,1,,4.5,4.721222939686402
96,97,1,1.0,2.5,2.6263183242450574
97,98,1,,5.0,4.781065576648541
98,99,1,4.0,4.0,4.173615757035913
99,100,1,4.0,3.5,3.5650313880260827
100,101,1,,4.0,4.220023937440808
101,102,1,,4.5,4.604416269638197
102,103,1,,3.5,3.3709405859700157
103,104,1,,4.0,4.132671478131472
104,105,1,,3.5,3.7450922480587314
105,106,1,4.0,4.0,4.003215694225547
106,107,1,,3.0,3.1380804776914344
107,108,1,,3.5,3.6207782872779304
108,109,1,,4.0,3.9021377722261916
109,110,1,,3.5,3.706976603102065
110,111,1,,3.0,3.0319182982702753
111,112,1,5.0,4.5,4.593983304248582
112,113,1,,4.5,4.507404635373488
113,114,1,,3.5,3.6973101019045957
114,115,1,,3.5,3.571634258516746
115,116,1,,5.0,5.690694844209253
116,117,1,,4.5,4.34422091923716
117,118,1,,3.5,3.5052473021428296
118,119,1,2.0,4.0,3.861665136026469
119,120,1,2.5,3.5,3.661576749991407
120,121,1,4.0,4.0,4.102507274984865
121,122,1,3.0,3.5,3.615171419335442
122,123,1,,3.5,3.2711792653008223
123,124,1,4.5,4.0,4.149053417418247
124,125,1,4.0,4.0,3.99170087547773
125,126,1,5.0,4.5,4.443013158159529
126,127,1,,4.5,4.553110599236522
127,128,1,5.0,4.0,4.059889221126624
128,129,1,,3.5,3.387520741467175
129,130,1,3.0,3.5,3.7024741361475053
130,131,1,,4.5,4.293161212952426
131,132,1,,3.5,3.3709751594518664
132,133,1,,1.0,1.172932242282219
133,134,1,3.5,4.0,4.10226843857455
134,135,1,,2.0,2.136467312331335
135,136,1,4.5,4.0,3.847363640877707
136,137,1,,4.5,4.725201653029207
137,138,1,2.0,1.5,1.5177253224233171
138,139,1,,4.5,4.72752990308228
139,140,1,,5.0,5.001771463069909
140,141,1,,4.0,4.238225045457974
141,142,1,4.0,4.0,4.224756066983228
142,143,1,,4.5,4.2955860115027615
143,144,1,,4.0,3.816684281761911
144,145,1,,5.0,5.1179269565047045
145,146,1,5.0,4.5,4.279708920488639
146,147,1,,3.5,3.6836090595404642
147,148,1,,4.5,4.532603187248532
148,149,1,3.0,3.5,3.4323285875072527
149,150,1,3.0,4.0,4.042643877767295
150,151,1,,3.0,2.9673474220579648
151,152,1,3.5,3.5,3.3139468038114837
152,153,1,5.0,5.0,4.958820354522799
153,154,1,4.0,4.0,3.7513835805029125
154,155,1,,4.0,4.013342296941424
155,156,1,,3.5,3.532325441707082
156,157,1,3.5,3.5,3.4267888210600694
157,158,1,,4.0,3.8858685496664718
158,159,1,,3.5,3.5955130568300753
159,160,1,,4.0,4.116755720676899
160,161,1,,3.5,3.410143598181898
161,162,1,,4.0,3.836136654132562
162,163,1,3.0,3.5,3.683949881608046
163,164,1,3.5,3.5,3.44065494031425
164,165,1,2.5,3.0,2.9620190268823725
